Sample_ID,Huntingtons_Disease,IGF2BP3,YTHDC1,PPP1CC,YTHDF2,CEBPD,YTHDF3,FTO,CEBPB,YTHDC2,YTHDF1
GSM1424131,0,-0.02841393,-0.013294039999999998,-0.06938233,-0.01355835,-0.08581968,0.03120327,0.06158388,-0.08848736,0.0009240629,-0.02772379
GSM1424132,0,-0.02885782,-0.033109410000000006,-0.102927,-0.06906503,-0.4790994,0.0023696365000000002,0.05827627,-0.1657371,-0.07824598,-0.04575877
GSM1424133,0,0.07111954,0.099370425,-0.01954502,0.05496252,-0.3851309,0.08175117,0.02425451,-0.1721632,0.06256331,-0.0911988
GSM1424134,0,0.06799616,-0.032665695,-0.05293605,0.03877302,-0.5668618,0.020420829999999997,0.06453181,-0.217513,0.05755074,-0.08701839
GSM1424135,0,0.0664193,-0.05945758,-0.07727855,0.04470077,-0.4830501,0.023304650000000003,0.01174594,-0.1115166,0.05843032,-0.09056159
GSM1424136,0,-0.0118879,-0.136856965,-0.110782,-0.07064691,-0.2344591,0.0137285695,0.06814367,-0.01719424,-0.05756455,-0.05457435
GSM1424137,0,0.04220086,-0.086323285,-0.04705993,0.06135311,-0.4464512,-0.019242917000000002,0.02927107,-0.2129314,0.02514098,-0.1705441
GSM1424138,0,-0.06505407,0.045880609999999995,-0.07954606,-0.1453101,-0.3400581,0.0009173050000000002,0.0241724,-0.2131412,-0.1331803,-0.08062828
GSM1424139,0,0.08866927,0.021873784,-0.02104812,0.03493759,-0.4903432,0.021440415,0.01256269,-0.1616848,0.03628061,-0.1313757
GSM1424140,0,0.07916266,-0.01336557,0.01615715,0.07068868,-0.4738972,-0.0009724499999999997,0.0406489,-0.1303194,0.03027138,-0.06824597
GSM1424141,0,0.04938693,-0.027871795000000005,-0.1250991,0.01854393,-0.2383409,-0.06044945,0.03706858,-0.1698985,-0.07316959,-0.09006508
GSM1424142,0,-0.001551828,0.00393082,-0.1317462,-0.1051465,0.1016541,0.01891327,0.05212447,-0.09441901,-0.02802539,-0.05406165
GSM1424143,0,0.05366595,0.001623900000000001,-0.06019304,-0.03373032,-0.4722421,-0.0003149649999999995,0.0343599,-0.199972,0.02139391,-0.06221117
GSM1424144,0,0.01899687,-0.03709514,-0.09943213,0.01841744,-0.4034208,0.0118684975,0.02472234,-0.1410523,0.01390303,-0.09619606
GSM1424145,0,-0.02534689,-0.01780154,-0.005627459,-0.01164113,-0.1572485,0.026433554,0.003546442,0.006025636,-0.04045381,0.00584442
GSM1424146,0,-0.00554796,-0.031246555,-0.08522457,-0.0237694,-0.3518502,-0.023401465,0.04164494,-0.08832252,-0.09337451,-0.01516039
GSM1424147,0,0.0389182,-0.01363802,-0.03761361,0.02443614,-0.4132754,-0.00296245,0.1049831,-0.2848698,0.1073119,-0.1399733
GSM1424148,0,0.02419708,-0.054385600000000006,-0.09714621,0.02396585,-0.5191855,-0.037913709999999996,0.09936769,-0.2018685,0.00224853,-0.06424867
GSM1424149,0,-0.01738681,0.007322405000000001,-0.04386597,-0.003286781,-0.2332994,0.06561956,0.03918053,-0.07462634,-0.04083692,-0.01553824
GSM1424150,0,0.01746128,0.0107772675,-0.05304011,0.04646128,-0.5622806,-0.009947399999999999,0.09255405,-0.2460929,0.05627604,-0.09263554
GSM1424151,0,-0.008830708,-0.062484859999999996,-0.04936614,0.06005802,-0.2585175,0.01820789,0.06658503,-0.09891721,0.03639036,-0.06582759
GSM1424152,0,-0.02597676,-0.033444925,-0.05908024,-0.07161381,0.4986761,0.002242049999999999,-0.06872816,0.1647626,-0.08353646,-0.0661286
GSM1424153,0,0.038276,0.00522446,-0.0378484,-0.05368339,-0.5795515,0.0043382945,-0.00314071,-0.1766369,-0.02017702,-0.1035408
GSM1424154,0,-0.01697133,0.0188087865,-0.08556854,-0.02845606,-0.2074271,0.019294995,0.08623994,-0.08664752,-0.07333037,-0.04632237
GSM1424155,0,0.04882892,-0.008833554,-0.0468999,0.02166706,-0.4936882,0.031397865,-0.002362047,-0.1618147,0.03213111,-0.1786496
GSM1424156,0,0.03967738,-0.03251441,-0.0492044,0.02748942,-0.3530903,0.0003200215,0.05824605,-0.1041458,2.599734e-05,-0.08324383
GSM1424157,0,0.01001618,0.03663076,-0.1042784,-0.07239541,-0.5565849,-0.04034336,0.06136493,-0.2076472,0.01050689,-0.1184905
GSM1424158,0,0.01171855,-0.07084734000000001,-0.08006492,0.01192538,-0.5545129,-0.01259934,0.1136391,-0.2304456,0.07293087,-0.0860858
GSM1424159,0,0.05964819,-0.030113152999999997,-0.02944145,0.03286538,-0.5746653,0.054429195,0.04717777,-0.2826578,0.06564973,-0.08816062
GSM1424160,0,0.0288366,-0.043612365,-0.0758184,-0.005127747,-0.459564,-0.0038472940000000002,0.04008231,-0.1629637,0.05017538,-0.02693662
GSM1424161,0,-0.08737429,0.03635842,-0.06651817,-0.1597117,0.01888252,-0.025145557000000002,0.05482049,0.000673958,-0.1098078,-0.01107019
GSM1424162,0,0.07193876,-0.0016446645,-0.06633905,0.04279322,-0.5277935,0.032071005,0.06862366,-0.1586611,0.05711752,-0.08697544
GSM1424163,0,-0.01100206,0.0807730388,-0.008149657,-0.01709349,-0.1993431,0.018919825,0.0688102,-0.1089126,0.05320983,-0.07359141
GSM1424164,0,0.02737473,0.022670065000000003,-0.06752382,0.04490975,-0.5669647,0.039444745,0.05070164,-0.2307602,0.02526135,-0.1046949
GSM1424165,0,0.0393645,0.03203631999999999,-0.009085517,0.04396944,-0.2519944,-0.00128316535,0.06631786,-0.1705891,0.03816269,-0.08626692
